FECHA;SEXO;INSTRUCCION;RANGO EDAD;NUMERO TARJETAHABIENTES;NUMERO TARJETAS;CAPITAL POR VENCER (USD);CAPITAL VENCIDO (USD);CAPITAL NO DEVENGA INTERESES (USD);CAPITAL CONSUMO (USD)
31/1/2024;HOMBRE;BACHILLERATO;Entre 18 a 29;26215;27715;18241918,45;1257101,85;1546211,42;3220657,12
31/1/2024;HOMBRE;BACHILLERATO;Entre 30 a 39;32416;35529;27816650,36;2340185,7;2678638,43;3916078,35
31/1/2024;HOMBRE;BACHILLERATO;Entre 40 a 49;18672;20309;20809232,95;1294972,21;1644683,97;2496941,92
31/1/2024;HOMBRE;BACHILLERATO;Entre 50 a 65;13471;14440;16175236,13;648850,66;787572,9;1981458,95
31/1/2024;HOMBRE;BACHILLERATO;Mayor a 65;2310;2468;2687202,12;49657,02;59815,53;302203,05
31/1/2024;HOMBRE;BACHILLERATO;No Definido;6;6;3772,53;0;0;1321,05
31/1/2024;HOMBRE;BASICA;;34186;35951;24969137,01;1380671,31;1479131,29;3955879,71
31/1/2024;HOMBRE;ELEMENTAL;Entre 18 a 29;1;1;572,44;0;0;225
31/1/2024;HOMBRE;ELEMENTAL;Entre 40 a 49;4;4;2022,89;0;0;443,5
31/1/2024;HOMBRE;ELEMENTAL;Entre 50 a 65;2;3;103,15;0;0;0
31/1/2024;HOMBRE;ELEMENTAL;Mayor a 65;13;13;6499,71;0;0;3421,57
31/1/2024;HOMBRE;ESPECIAL;Entre 30 a 39;1;1;705,98;0;0;0
31/1/2024;HOMBRE;ESPECIAL;Entre 40 a 49;1;1;0;0;0;0
31/1/2024;HOMBRE;ESPECIAL;Entre 50 a 65;1;1;1437,77;0;0;625,06
31/1/2024;HOMBRE;INICIAL;Entre 18 a 29;329;332;174092,18;21908,44;18981,92;32168,72
31/1/2024;HOMBRE;INICIAL;Entre 30 a 39;213;219;164571,54;32211,23;13303,39;28131,26
31/1/2024;HOMBRE;INICIAL;Entre 40 a 49;182;184;143790,17;28868,68;15466,62;23380,72
31/1/2024;HOMBRE;INICIAL;Entre 50 a 65;186;193;185373,27;7535,33;4655,03;22187,06
31/1/2024;HOMBRE;INICIAL;Mayor a 65;131;134;79773,8;179,26;0;9089,37
31/1/2024;HOMBRE;NINGUNA;Entre 18 a 29;6;6;1799,82;0;0;540
31/1/2024;HOMBRE;NINGUNA;Entre 30 a 39;13;15;6215,66;0;0;1622,83
31/1/2024;HOMBRE;NINGUNA;Entre 40 a 49;25;26;15903,79;577,42;1746,51;2420,64
31/1/2024;HOMBRE;NINGUNA;Entre 50 a 65;53;54;25004,09;59,63;288,18;4615,14
31/1/2024;HOMBRE;NINGUNA;Mayor a 65;24;24;11037,78;945,98;0;850,31
31/1/2024;HOMBRE;NO DISPONIBLE;Entre 18 a 29;18;21;13892,15;0;0;2405,74
31/1/2024;HOMBRE;NO DISPONIBLE;Entre 30 a 39;27;27;26429,91;1488,16;0;3120,17
31/1/2024;HOMBRE;NO DISPONIBLE;Entre 40 a 49;18;21;32688,38;0;0;2005,65
